Name,Sport,Age,Height (cm),Weight (kg),Sex
Aniko Pelle,Water Polo,33,186,77,F
Anis Ananenka,Athletics,26,176,65,M
Anissa Khelfaoui,Fencing,20,160,63,F
Anisya Kirdyapkina,Athletics,22,164,47,F
Anita Blaze,Fencing,20,166,52,F
Anita Gace,Handball,29,177,69,F
Anita Marton,Athletics,23,172,90,F
Anita Punt,Hockey,24,163,55,F
Anita Wlodarczyk,Athletics,26,178,95,F
Anja Carman,Swimming,27,175,65,F
Anja Dittmer,Triathlon,36,168,56,F
Anja Klinar,Swimming,24,170,62,F
Anja Noske,Rowing,26,171,57,F
Anke Brockmann,Hockey,23,169,60,F
